key,strategy,symbol,params,trades_per_day,is_n,is_pf,is_exp,oos_n,oos_pf,oos_exp
"pdhl|SOLUSD|{""rr"": 1.0}",pdhl,SOLUSD,"{""rr"": 1.0}",0.8110132158590309,400,0.9633069074568852,-0.0065497938441004076,389,0.7955711996462909,-0.04320775545336962
"pdhl|SOLUSD|{""rr"": 1.5}",pdhl,SOLUSD,"{""rr"": 1.5}",0.8110132158590309,400,0.9422768709178324,-0.010447194382274719,389,0.8273299862627396,-0.036495267373192086
"pdhl|SOLUSD|{""rr"": 2.5}",pdhl,SOLUSD,"{""rr"": 2.5}",0.8110132158590309,400,0.9562410832969016,-0.008036040875841269,389,0.8322631824012873,-0.03545259465785513
"rsi2|SOLUSD|{""lo"": 5, ""sl"": 1.5}",rsi2,SOLUSD,"{""lo"": 5, ""sl"": 1.5}",0.44816446402349486,219,0.8327283067019787,-0.05958443601523113,217,0.8313946180689713,-0.057152111835854766
"rsi2|SOLUSD|{""lo"": 5, ""sl"": 3.0}",rsi2,SOLUSD,"{""lo"": 5, ""sl"": 3.0}",0.43788546255506605,216,0.8092546410164997,-0.03699487591170792,210,0.7951505925388564,-0.03784601815548468
"rsi2|SOLUSD|{""lo"": 10, ""sl"": 1.5}",rsi2,SOLUSD,"{""lo"": 10, ""sl"": 1.5}",0.9117474302496329,489,0.8297116136593696,-0.05946499149007851,398,0.6952995329377608,-0.1184278401205494
"rsi2|SOLUSD|{""lo"": 10, ""sl"": 3.0}",rsi2,SOLUSD,"{""lo"": 10, ""sl"": 3.0}",0.8788546255506607,477,0.8309326005797277,-0.031131640390084092,378,0.736233116549273,-0.05173082504756608
"breakout|XAUUSD|{""n"": 20, ""sl"": 2.0}",breakout,XAUUSD,"{""n"": 20, ""sl"": 2.0}",0.39808963997060987,177,0.98090696436384,-0.009559520810951638,210,1.7657613252058142,0.3585365858929615
"breakout|XAUUSD|{""n"": 20, ""sl"": 3.0}",breakout,XAUUSD,"{""n"": 20, ""sl"": 3.0}",0.30345334313005146,134,1.2286518409561777,0.09773017632813322,161,1.921281605190021,0.3829605460511335
"breakout|XAUUSD|{""n"": 55, ""sl"": 2.0}",breakout,XAUUSD,"{""n"": 55, ""sl"": 2.0}",0.27670830271858926,126,0.8856468946102601,-0.06240823146369666,143,1.9384454544087892,0.4315923862022559
"breakout|XAUUSD|{""n"": 55, ""sl"": 3.0}",breakout,XAUUSD,"{""n"": 55, ""sl"": 3.0}",0.23350477590007349,101,1.0467239580689969,0.022522404640264563,126,1.684005293405883,0.29908606950109207
"orb|XAUUSD|{""rr"": 1.0, ""width_min"": 0.0}",orb,XAUUSD,"{""rr"": 1.0, ""width_min"": 0.0}",0.7900073475385746,396,0.6066325666145562,-0.23372437236606555,372,0.8285900881084649,-0.08526889472078727
"orb|XAUUSD|{""rr"": 1.0, ""width_min"": 0.5}",orb,XAUUSD,"{""rr"": 1.0, ""width_min"": 0.5}",0.6953710506980162,334,0.6666056264999168,-0.18772531004450313,342,0.8413160802148023,-0.07765984916882115
"orb|XAUUSD|{""rr"": 2.0, ""width_min"": 0.0}",orb,XAUUSD,"{""rr"": 2.0, ""width_min"": 0.0}",0.7900073475385746,396,0.533144207029967,-0.33040231602543335,372,0.9218152403715838,-0.044959495644261965
"orb|XAUUSD|{""rr"": 2.0, ""width_min"": 0.5}",orb,XAUUSD,"{""rr"": 2.0, ""width_min"": 0.5}",0.6953710506980162,334,0.5550099714576886,-0.30312280389901486,342,0.9345751169156415,-0.03673851450078777
