lookback,btc_sma,vol_target,score,2022_pct,2022_dd,2022_sharpe,2023_pct,2023_dd,2023_sharpe,2024_pct,2024_dd,2024_sharpe,2025_pct,2025_dd,2025_sharpe,2026_pct,2026_dd,2026_sharpe
60,100,0.3,-0.1703096564433796,-6.355172877683879,-9.88715215427407,-1.10546957194149,25.53634220432737,-13.106445850345672,1.275130494259558,35.974344104147704,-14.867005606015038,1.7686177148390765,1.9550597665164648,-10.17602218087269,0.19892538010259375,10.55369887542903,-7.681143218496689,1.1419625537903706
90,200,0.5,-0.19230194780761511,0.0,0.0,0.0,12.834753388553,-26.9717826039933,0.6110848712200291,60.84675765736674,-22.54358821337952,1.676608653084197,-10.82728477544478,-28.90003870302581,-0.2256813852575104,17.256216796880363,-6.450390366352665,1.7309126505612675
45,150,0.8,-0.2298691070451762,-4.81447775152054,-7.217890312292163,-0.8612340141111204,35.81342157100826,-31.56327384887715,1.1207421534914963,60.59956015584049,-25.004456037081134,1.4292359912988832,-7.13697840043932,-24.41520096897407,-0.05234474169122083,19.98408122779649,-10.866917742205306,1.1986385458581985
14,100,0.8,-0.23101143315537354,-10.379630838824127,-21.70331989041371,-0.684372806012923,74.4793793723501,-24.749284695986173,1.7530557682103394,84.54552995565665,-23.75852261112712,2.007150705085326,-0.6595584601136517,-27.346476425634048,0.13385361546767727,9.975358193815431,-8.25247080675342,0.7342441431280777
60,50,0.3,-0.2361938897229594,-9.417104517187713,-12.312084095937315,-1.0553652422376183,43.72803773241112,-7.3786898861529115,2.1270242412845657,35.06872350571963,-15.220078300054318,1.7673494735815392,-3.558999161828591,-10.375607005766351,-0.15939359458803923,18.623389832102745,-6.458422080032211,1.5898381917464421
10,200,0.5,-0.24527600227654284,0.0,0.0,0.0,25.352343807015387,-23.3812470998078,1.0084107588017845,51.41855599651994,-24.179398787618556,1.8148158458473795,-11.542962783724276,-22.960201569550332,-0.40086535679929436,14.711373756704816,-8.714016138327295,1.2932275852004687
10,100,0.8,-0.2579942488286694,-10.361825603904684,-21.35682628439647,-0.7014232609794095,48.02566462431548,-24.51450851687276,1.3990141513409373,80.77525614844208,-30.887904395678277,1.9910264350971512,-0.37836036560016106,-20.97478045104473,0.14019266649017223,11.429309854400582,-11.605442016826073,0.8286693581146336
14,50,0.3,-0.298489574174545,-10.781131880486662,-13.323610628085413,-0.8813120675148451,50.07750612486588,-8.918100297941178,2.1150409830667862,43.590145303338225,-10.943464972150874,2.3302048089064487,0.615476537293258,-14.866593954517604,0.11490701579709667,6.409230909222319,-15.312101030137926,0.5672424030227013
10,150,0.8,-0.3267623435129532,-5.085041712041949,-7.633344464624015,-0.8855419551791072,38.697855178682495,-28.331637454113846,1.184571291765873,80.03964135620471,-29.625640961711454,1.9926933516468046,-9.009170738032724,-24.496547426729578,-0.14626145080915282,14.226574311244145,-11.605442016826117,1.0279655638828034
20,100,0.5,-0.33184521273186424,-11.054359557979609,-17.39600410676888,-1.064540529120191,34.69576414486399,-21.19113440354614,1.336682942378279,50.80864184443019,-24.86286051986124,1.6588712738116687,11.826675318490064,-14.027201717981807,0.6208671751508624,12.230513370547902,-9.19118147252982,0.9226363444814437
30,50,0.3,-0.37269977072631677,-10.172854974775236,-10.903029489362549,-1.0874863173690914,36.89482780082558,-8.541975506954735,1.9027454656007181,40.44056339562459,-11.591987458304375,2.0063706935164802,4.346915055772693,-8.455976780512742,0.355744034349597,3.7008017913586766,-17.899822115747956,0.36933498750803656
45,50,0.3,-0.38366418173151573,-8.949683632501682,-10.570430591177027,-0.9257487103486643,28.576901775205044,-13.05880061663668,1.643799832850586,29.58753053265557,-14.233069411266774,1.5523287611815482,-4.438356129389131,-11.383436777023215,-0.2551439447001692,9.260832298931799,-12.56198242487937,0.829615854836179
60,100,0.5,-0.3851754928504909,-10.335651746969132,-15.975898365267327,-1.0877417452371276,36.90998988115499,-20.017807761043937,1.2206368972366715,54.94071535560367,-23.950132883921317,1.641213730461528,0.5157496699082831,-15.641323034835752,0.15168734099879336,16.458603756029298,-9.761475109738281,1.2013338852868998
