variant,vol_target,lev,is_total_pct,is_cagr_pct,is_maxdd_pct,is_sharpe,oos_total_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe
rotation_14d_top3_every7,,3,30.16741998090593,9.18611974018473,-92.00002595231454,0.8405193275152884,-67.29058061685902,-47.71569264280443,-87.88583781516158,0.12128763165625965
rotation_14d_top3_every14,,1,210.00967296992079,45.81149014269168,-53.36678540061612,0.9890752143632908,28.556270219936962,15.69252829937744,-37.53260197438393,0.5521826313914453
rotation_14d_top3_every14,,2,173.20235567554656,39.79602194357889,-81.44813301614275,0.8374980563182551,-3.996709878601845,-2.339064818343206,-69.5524466436677,0.39609092321523115
rotation_14d_top3_every14,,3,-70.147336558206,-33.16647594345403,-95.92441883632992,0.5433364972930335,-69.60830898339452,-49.898606819824806,-93.32449014656244,0.15162586989010488
rotation_14d_top4_every7,,1,395.1030255975269,70.43751497527226,-43.603548751533005,1.4238373027917217,13.951387146920924,7.873211618647202,-37.7673419310937,0.391361279238515
rotation_14d_top4_every7,,2,733.1742457902117,102.72716433041755,-72.44735144707278,1.2368140326093604,-16.266579148643313,-9.789049251024462,-66.70728388621443,0.2742947145316989
rotation_14d_top4_every7,,3,404.9880150085577,71.5643399148581,-88.4397848403054,1.0886708991290117,-36.710387477062255,-23.31402194567974,-81.15955439591585,0.35199017437362723
rotation_14d_top4_every14,,1,189.3124733473608,42.4915309787556,-53.60421496021587,1.0047875378402067,20.831846942274,11.60630699477947,-36.42612085945517,0.47732957539323057
rotation_14d_top4_every14,,2,191.4466209563868,42.8410415129336,-81.31693761619204,0.8537756475414477,-20.816764204808948,-12.667021077980479,-68.27274691094732,0.250908136671915
rotation_14d_top4_every14,,3,-11.425409366542416,-3.9634866060384577,-93.54363440912672,0.6855041647580352,-38.40015792362914,-24.50886559046802,-83.44220892550835,0.3591814003780027
rotation_30d_top1_every7,,1,34.32660112350667,10.336873919362644,-68.31006491214677,0.5016685587510064,-35.01698163076241,-22.129966859488714,-55.90049365554219,-0.2658494813361632
rotation_30d_top1_every7,,2,-98.0758064676097,-73.20320111194607,-99.35560232792318,-0.2532436431749122,-69.59704157965886,-49.88782909159741,-81.35324437435312,-0.3039334515638907
rotation_30d_top1_every7,,3,-99.90735113797784,-90.25130021205285,-99.98412789153646,-0.3123834754433642,-91.74951933954054,-76.49025622969562,-95.94567028472323,-0.47918444324299453
rotation_30d_top1_every14,,1,0.3818080787170608,0.12710772737543063,-73.94371208562589,0.36752325938663266,-40.52194720888175,-26.028855480656244,-55.99710898217703,-0.40602653197153404
rotation_30d_top1_every14,,2,-97.14091226166882,-69.42199403832277,-99.04891813110692,-0.18721398671966535,-74.584106729864,-54.836158025009695,-83.59028071395173,-0.4608874748947742
rotation_30d_top1_every14,,3,-99.81704385701028,-87.76936519669948,-99.96899660644205,-0.22268259114866068,-93.78826567972935,-80.06032288285165,-96.6435469025172,-0.6605779792823409
rotation_30d_top2_every7,,1,210.8703590299605,45.946305242459395,-47.95625508573236,0.9277764040729353,-10.745435599818265,-6.383688862594106,-44.813904410722536,0.09499417232305689
rotation_30d_top2_every7,,2,-3.656947223910889,-1.2341510367533282,-84.78609110518104,0.6019810815105149,-54.828393638466075,-36.944460821021295,-79.21482952631726,-0.04707365577323403
rotation_30d_top2_every7,,3,-93.26190057993426,-59.3076780817761,-98.5102350601411,0.3563864387592092,-76.27801582063077,-56.60808922708607,-90.44696144787319,0.020715887623848014
rotation_30d_top2_every14,,1,130.44119707686903,32.08496157869099,-56.05932797008092,0.7678092362419879,-35.76659440260529,-22.652489983814526,-54.955961865607705,-0.3329398598130374
rotation_30d_top2_every14,,2,-43.40903542420717,-17.285363509705842,-87.20596669076724,0.4407413919887497,-74.42016547811335,-54.66733585582577,-86.77537963948183,-0.45362544623673534
rotation_30d_top2_every14,,3,-96.94475233191902,-68.738092497429,-99.45620523177891,0.17644707184309064,-91.26524885925265,-75.69910157178248,-96.16172338456279,-0.45310606054220887
rotation_30d_top3_every7,,1,354.2895732841605,65.61929172719903,-37.443268759469476,1.2402426084644107,-10.869041833635906,-6.458942927516365,-37.37563255914349,0.08524805007974479
rotation_30d_top3_every7,,2,437.4729278152407,75.16696205090325,-72.69555625533506,1.0677806321330154,-45.433824448729354,-29.63764689192806,-69.69233593905007,0.012106072106021496
rotation_30d_top3_every7,,3,-35.519923959758316,-13.60767134500971,-89.68196946479966,0.7327056325389854,-84.19559312434066,-65.71832190288582,-92.255591900268,-0.17820733318886178
rotation_30d_top3_every14,,1,148.77300652098012,35.498478402502734,-47.649462605277634,0.8670694480893274,-27.105458254338856,-16.76158278226787,-45.479994870043036,-0.20872985558034718
rotation_30d_top3_every14,,2,22.702493405948942,7.057672175038854,-81.92980637929446,0.5982089309042065,-54.53341081155134,-36.70584297532914,-73.41918972557026,-0.19074127703847105
rotation_30d_top3_every14,,3,-89.5751686661709,-52.935908572843495,-95.52729031180458,0.31908968160867557,-85.25313961724058,-67.06877715936447,-92.97054508882032,-0.36217007585881944
rotation_30d_top4_every7,,1,308.3217858159893,59.83339243366721,-40.88921930382436,1.2232614990697581,-6.29505910322441,-3.70268810074732,-40.75851109758785,0.15347063490496568
rotation_30d_top4_every7,,2,277.16781041693883,55.66042320187859,-71.83805474118407,0.9625866227268706,-45.74484235984298,-29.87065178060677,-69.79124496987828,0.046543859200392806
rotation_30d_top4_every7,,3,51.34482034682439,14.812503632599139,-89.55038699675629,0.8631545963278839,-56.333034432881576,-38.1719184525379,-81.4917227331931,0.2126198739521504
rotation_30d_top4_every14,,1,156.83592661185037,36.94681129405184,-47.25954057424177,0.9040889136400568,-22.768582964962846,-13.922744369040952,-44.03831464309438,-0.11051064120456608
rotation_30d_top4_every14,,2,28.948785811771693,8.844315466480301,-82.20451199546552,0.6169400724092456,-62.75199181968926,-43.621043353380614,-79.6260404154315,-0.23511973693275187
rotation_30d_top4_every14,,3,-68.61661785069046,-32.04314866170701,-95.07648316114782,0.5332449060892622,-74.20522176848942,-54.44667921805725,-88.92280272373961,-0.07794370531013303
rotation_60d_top1_every7,,1,-58.12267972563156,-25.184262539489556,-77.9281526699969,-0.032660162999951406,-27.31274046447063,-16.899016244959743,-61.28119643375527,-0.0924784690582688
rotation_60d_top1_every7,,2,-99.86429887044363,-88.92880532179686,-99.89049738855462,-0.9565686522847073,-78.78037775183554,-59.32616059598026,-90.61772916958503,-0.40027190784450023
rotation_60d_top1_every7,,3,-99.99649872372736,-96.72853614075368,-99.99880663843173,-0.9542934573142017,-91.854224116468,-76.66385211829292,-96.99027627086969,-0.3520887280033619
rotation_60d_top1_every14,,1,-31.955392513038085,-12.044182179290875,-69.4185401373561,0.17386153935498738,-9.307186249782163,-5.511244966606088,-54.04440562355288,0.12812689584885772
rotation_60d_top1_every14,,2,-99.495785567967,-82.8523310403248,-99.66285733756128,-0.6463493575409227,-65.68340891602634,-46.23997315248152,-85.27770328155881,-0.19558225370215002
rotation_60d_top1_every14,,3,-99.98399401640374,-94.57048810202619,-99.99488498086164,-0.6833996984040404,-79.79300466346369,-60.464042029132116,-92.5338636578805,-0.060388355550752844
rotation_60d_top2_every7,,1,157.47147634715571,37.05967818367928,-51.568707231173235,0.8048450868318999,7.272595680706995,4.1579018186225225,-38.995169472149605,0.3214030639433279
rotation_60d_top2_every7,,2,-48.51126857133394,-19.849900845651536,-86.94299031237347,0.467482833136827,-12.366241941490763,-7.373974899645807,-67.79387983972691,0.3339825455821345
rotation_60d_top2_every7,,3,-98.37648191608316,-74.67871682168375,-99.53037522363054,0.17043061314017627,-65.1212065537034,-45.73063521303135,-89.89311048839426,0.15862755995183708
rotation_60d_top2_every14,,1,160.09761054516935,37.524092403386874,-50.038485657972245,0.8302340849545523,-23.452627313129426,-14.365976018303828,-53.53956882180504,-0.0900984728405728
rotation_60d_top2_every14,,2,-35.28140860956697,-13.501279094756757,-85.76053596430157,0.5023093972037906,-44.80140078695779,-29.16556717923282,-77.49852762633188,0.003359162781124506
rotation_60d_top2_every14,,3,-97.69151208970015,-71.52638983186989,-99.14147469620102,0.17677887288000133,-78.66540216196432,-59.19841894015854,-93.06596610472005,-0.12280682046110403
rotation_60d_top3_every7,,1,251.92720554192474,52.107611576328175,-42.79932936836316,1.029690320411072,7.591337382080221,4.33738097897145,-46.41258491426504,0.33244940350986096
rotation_60d_top3_every7,,2,113.0488051969793,28.674661465206874,-79.52177676792664,0.7946302082172358,-19.07874545200291,-11.559741649631516,-66.54203713583486,0.3019457132859147
rotation_60d_top3_every7,,3,-84.10400517298325,-45.82953408562736,-94.04960254617181,0.5122678629948644,-58.93937461818746,-40.34096844451659,-87.88490443460628,0.23894570855283873
rotation_60d_top3_every14,,1,219.488810233942,47.28274982496301,-43.87841922038653,0.9913290202340039,6.186084674784054,3.5444134205618427,-46.50851923646088,0.3126061128838788
rotation_60d_top3_every14,,2,61.40635448753435,17.302394160799395,-80.40282803686934,0.707480871477102,-22.777229506016493,-13.928336653312645,-68.84982666950144,0.25343514914478904
rotation_60d_top3_every14,,3,-87.34428480676668,-49.79323594840912,-93.04799557824171,0.44675260467001765,-59.13971406820813,-40.51005334175205,-87.93313238131562,0.20415011201141012
rotation_60d_top4_every7,,1,228.84430483076486,48.706553488948856,-37.483900709774254,1.0519340518122444,-8.06834579434238,-4.7644074588435785,-47.465978845676574,0.12945063807869436
rotation_60d_top4_every7,,2,127.18561685191699,31.45999483815536,-70.2940229521612,0.7959709715883684,-38.15551055100116,-24.335030403285927,-71.45808204007325,0.1287023529052258
